,Model,Accuracy,F1 Score,Precission,Recall
38,MultinomialNB(),0.8009478672985783,0.8077454376208707,0.8093684314413084,0.8009478672985783
39,MultinomialNB(),0.8080568720379147,0.8136188453226819,0.828101448472822,0.8080568720379147
40,DecisionTreeClassifier(),0.8127962085308057,0.8134506311973468,0.8117481228172851,0.8127962085308057
41,DecisionTreeClassifier(),0.8412322274881516,0.8395903520875498,0.8455814346297413,0.8412322274881516
42,DecisionTreeClassifier(),0.8341232227488151,0.8336978113814368,0.8370172399707116,0.8341232227488151
43,DecisionTreeClassifier(),0.8672985781990521,0.867480798242528,0.868661122355017,0.8672985781990521
44,DecisionTreeClassifier(),0.8104265402843602,0.8094000427449954,0.8161690846800361,0.8104265402843602
45,DecisionTreeClassifier(),0.8459715639810427,0.8438570328123015,0.853371014035248,0.8459715639810427
46,DecisionTreeClassifier(),0.8222748815165877,0.8230699820735656,0.8210383131881145,0.8222748815165877
47,DecisionTreeClassifier(),0.8412322274881516,0.8417411349014913,0.8411727766098634,0.8412322274881516
48,DecisionTreeClassifier(),0.8222748815165877,0.8236832144988706,0.8207465457084634,0.8222748815165877
49,DecisionTreeClassifier(),0.8388625592417062,0.837914063352746,0.8416100274799645,0.8388625592417062
50,RandomForestClassifier(),0.8530805687203792,0.8520002299605465,0.8569405661990414,0.8530805687203792
51,RandomForestClassifier(),0.8957345971563981,0.8951987942467118,0.9045268622572543,0.8957345971563981
52,RandomForestClassifier(),0.8459715639810427,0.8425601119344204,0.8586432935533604,0.8459715639810427
53,RandomForestClassifier(),0.8601895734597157,0.8606128624685341,0.8608076907496659,0.8601895734597157
54,RandomForestClassifier(),0.8554502369668247,0.8543632146818594,0.8603712513644836,0.8554502369668247
55,RandomForestClassifier(),0.8625592417061612,0.8619003463249679,0.8674625341257947,0.8625592417061612
56,RandomForestClassifier(),0.8270142180094787,0.8259658262855307,0.8397925603126695,0.8270142180094787
57,RandomForestClassifier(),0.8388625592417062,0.8383076616085758,0.8487843993844344,0.8388625592417062
58,RandomForestClassifier(),0.8412322274881516,0.840004243400629,0.844569727271149,0.8412322274881516
59,RandomForestClassifier(),0.8459715639810427,0.8452734717391347,0.8481008500925439,0.8459715639810427
60,GradientBoostingClassifier(),0.8507109004739336,0.848043859753519,0.8606247647640322,0.8507109004739336
61,GradientBoostingClassifier(),0.8767772511848341,0.8759804129166191,0.8814838804097662,0.8767772511848341
62,GradientBoostingClassifier(),0.8625592417061612,0.8617558215505638,0.8654391332962317,0.8625592417061612
63,GradientBoostingClassifier(),0.8554502369668247,0.85465689062725,0.86011612802882,0.8554502369668247
64,GradientBoostingClassifier(),0.8696682464454977,0.8694635903490582,0.8709395564942922,0.8696682464454977
65,GradientBoostingClassifier(),0.8744075829383886,0.8722083194102097,0.8887371933905311,0.8744075829383886
66,GradientBoostingClassifier(),0.8909952606635071,0.8908461930191858,0.892161779679752,0.8909952606635071
67,GradientBoostingClassifier(),0.8767772511848341,0.878685352093074,0.8769818009824548,0.8767772511848341
68,GradientBoostingClassifier(),0.8791469194312796,0.8792089227808858,0.8792791292610976,0.8791469194312796
69,GradientBoostingClassifier(),0.8625592417061612,0.8622740369059175,0.8673460820380252,0.8625592417061612
70,AdaBoostClassifier(),0.8364928909952607,0.8368428091511785,0.842879813301844,0.8364928909952607
71,AdaBoostClassifier(),0.8127962085308057,0.8063632069181976,0.8345922806517485,0.8127962085308057
72,AdaBoostClassifier(),0.8364928909952607,0.8366858680496109,0.8371375231894806,0.8364928909952607
73,AdaBoostClassifier(),0.7890995260663507,0.7878388435840136,0.7950601849346811,0.7890995260663507
74,AdaBoostClassifier(),0.8056872037914692,0.8050091219618903,0.8082417721826083,0.8056872037914692
75,AdaBoostClassifier(),0.8080568720379147,0.8071901921031268,0.8228360472148879,0.8080568720379147
76,AdaBoostClassifier(),0.8246445497630331,0.8243648125981841,0.829116865842379,0.8246445497630331
77,AdaBoostClassifier(),0.8293838862559242,0.8267061386632498,0.8386634290628399,0.8293838862559242
78,AdaBoostClassifier(),0.8388625592417062,0.8375029674584679,0.8425394341943323,0.8388625592417062
79,AdaBoostClassifier(),0.8293838862559242,0.8281140172147521,0.832400005631069,0.8293838862559242
