Id,Search Keyword,URL,Datetime,Tweet,User,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to (User),Tweepy Mentioned Users Count,Tweepy Mentioned Username,Tweepy Geo,Tweepy Coordinates,Tweepy Place,Tweepy User Verified,Tweepy User Followers,Tweepy User Statuses Count,Tweepy User Location,Tweepy User Created At
1514610747665371155,#KenaikanPPN,https://twitter.com/PojokSumsel/status/1514610747665371155,2022-04-14 14:25:17+00:00,"Kenaikan tarif PPN 11%, Bagaimana Dampak ke Bisnis?
Selengkapnya: https://t.co/OKfBBFaVxE

#Event #Event #KenaikanPajak #KenaikanPPN #PPN11 #TarifPPN10 #Webinar https://t.co/pqyLWHYPIo",PojokSumsel,0,0,0,0,in,PojokSumsel.com,,,"['Event', 'Event', 'KenaikanPajak', 'KenaikanPPN', 'PPN11', 'TarifPPN10', 'Webinar']",None,0,[],,,,False,7,1011,Sumatera Selatan,Wed Feb 26 04:33:47 +0000 2020
1511994482849374209,#KenaikanPPN,https://twitter.com/HeraldSulsel/status/1511994482849374209,2022-04-07 09:09:10+00:00,Ratusan Mahasiswa Makassar Unjuk Rasa Tolak Kenaikan PPN dan Jokowi 3 Periode #jokowitigaperiode #KenaikanPPN https://t.co/XrvfS13S3v,HeraldSulsel,0,0,0,0,in,Jetpack.com,,,"['jokowitigaperiode', 'KenaikanPPN']",None,0,[],,,,False,61,18742,"Makassar, Jl Hertasning No.33 ",Thu Mar 17 07:25:04 +0000 2022
1511994478067867651,#KenaikanPPN,https://twitter.com/heraldindo/status/1511994478067867651,2022-04-07 09:09:09+00:00,Ratusan Mahasiswa Makassar Unjuk Rasa Tolak Kenaikan PPN dan Jokowi 3 Periode #jokowitigaperiode #KenaikanPPN https://t.co/nBo7pTxBrS,heraldindo,0,0,0,0,in,Jetpack.com,,,"['jokowitigaperiode', 'KenaikanPPN']",None,0,[],,,,False,403,67052,"Jakarta Selatan, DKI Jakarta",Wed Oct 27 01:35:27 +0000 2021
1511261941347815424,#KenaikanPPN,https://twitter.com/IAP2_Indonesia/status/1511261941347815424,2022-04-05 08:38:19+00:00,"Apakah keputusan kenaikan PPN sebesar 11% sudah melibatkan seluruh pihak terkait? simak artikelnya di: https://t.co/uu97IQkLZs

#ppn #kenaikanppn #pajak #tax #public #participation https://t.co/z0rKzFma9A",IAP2_Indonesia,0,0,0,0,in,Twitter Web App,,,"['ppn', 'kenaikanppn', 'pajak', 'tax', 'public', 'participation']",None,0,[],,,,False,143,1185,Indonesia,Fri May 01 16:23:32 +0000 2015
1510491006961176583,#KenaikanPPN,https://twitter.com/IDbelasting/status/1510491006961176583,2022-04-03 05:34:54+00:00,"Kenaikan PPN 11% Diklaim Tak Berdampak pada Inflasi 
#inflasi #ppn #dampakppn #kenaikanPPN
https://t.co/fxpzfubzo1",IDbelasting,0,0,0,0,in,Twitter Web App,,,"['inflasi', 'ppn', 'dampakppn', 'kenaikanPPN']",None,0,[],,,,False,49,7813,Jakarta,Sat Aug 07 07:16:40 +0000 2021
1509472333836464128,#KenaikanPPN,https://twitter.com/jpnncom/status/1509472333836464128,2022-03-31 10:07:03+00:00,Direktur Center of Economic and Law Studies (Celios) Bhima Yudhistira mengingatkan bahaya kenaikan tarif PPN menjadi 11 persen. #KenaikanPPN https://t.co/6AUGnzej8d,jpnncom,0,0,0,0,in,JPNN News Update,,,['KenaikanPPN'],None,0,[],,,,True,68142,918700,Indonesia,Fri Oct 02 08:23:26 +0000 2009
1550750106663563265,#PPN11%,https://twitter.com/Sistax_Consult/status/1550750106663563265,2022-07-23 07:50:11+00:00,Cara Jurnal PPN Transaksi dengan Instansi Pemerintah #jurnal #ppn #ppn11... https://t.co/YLxLPM0caB via @YouTube,Sistax_Consult,0,0,0,0,in,Twitter Web App,,,"['jurnal', 'ppn', 'ppn11']",None,1,['YouTube'],,,,False,15,62,Bogor,Fri Oct 22 14:13:26 +0000 2021
1532565973911207936,#PPN11%,https://twitter.com/okoceindonesia/status/1532565973911207936,2022-06-03 03:32:56+00:00,#PPN11% https://t.co/wqkv7PD3JP,okoceindonesia,0,0,0,0,und,Twitter for Android,,,['PPN11'],None,0,[],,,,False,285,1098,Jakarta Capital Region,Tue Feb 18 04:57:26 +0000 2020
1525412368334786561,#PPN11%,https://twitter.com/izmailtaufq/status/1525412368334786561,2022-05-14 09:47:04+00:00,"Tarif PPN naik 1% itu wajar. Dana pajak kita nikmati bersama.
#tarifbaruPPN #PPN11 #MayDay #14MeiSiapPeoplePower https://t.co/5BKT6ua4tt",izmailtaufq,0,0,0,0,in,Twitter Web App,,,"['tarifbaruPPN', 'PPN11', 'MayDay', '14MeiSiapPeoplePower']",None,0,[],,,,False,0,23,,Thu Apr 21 03:23:21 +0000 2022
1517054313448624128,#PPN11%,https://twitter.com/FarisAhmadDoni1/status/1517054313448624128,2022-04-21 08:15:08+00:00,"Kenaikan PPN demi pemulihan ekonomi nasional

#PPN #tarifbaru #TarifPPN #Tarif11Persen #PPN11 https://t.co/B4508SxgVh",FarisAhmadDoni1,0,0,0,0,in,Twitter Web App,,,"['PPN', 'tarifbaru', 'TarifPPN', 'Tarif11Persen', 'PPN11']",None,0,[],,,,False,26,628,,Thu Mar 31 03:54:48 +0000 2022
1517029640032100352,#PPN11%,https://twitter.com/FarisAhmadDoni1/status/1517029640032100352,2022-04-21 06:37:05+00:00,"Kebutuhan pokok tidak termasuk dalam kenaikan tarif PPN
#PPN #tarifbaru #TarifPPN #Tarif11Persen #PPn11 https://t.co/SePUkbvZV3",FarisAhmadDoni1,0,0,0,0,in,Twitter Web App,,,"['PPN', 'tarifbaru', 'TarifPPN', 'Tarif11Persen', 'PPn11']",None,0,[],,,,False,26,628,,Thu Mar 31 03:54:48 +0000 2022
1516988191357603840,#PPN11%,https://twitter.com/lanala92/status/1516988191357603840,2022-04-21 03:52:23+00:00,"Sudah disetujui DPR, tarif baru PPN 11%
#TarifPPN #tarifbaru #PPN11perse #PPN11 https://t.co/CJe3jQ1Y4v",lanala92,0,0,0,0,in,Twitter Web App,,,"['TarifPPN', 'tarifbaru', 'PPN11perse', 'PPN11']",None,0,[],,,,False,1,26,,Thu Apr 21 03:13:23 +0000 2022
1516987279419469824,#PPN11%,https://twitter.com/sureljalaludin/status/1516987279419469824,2022-04-21 03:48:46+00:00,"Disetujui DPR, Tarif baru PPN 11%
#TarifPPN #PPN11persen #PPN11 #Tarifbaru https://t.co/mhM1eHifP4",sureljalaludin,0,0,0,0,in,Twitter Web App,,,"['TarifPPN', 'PPN11persen', 'PPN11', 'Tarifbaru']",None,0,[],,,,False,0,23,,Thu Apr 21 03:27:47 +0000 2022
1516973895886467072,#PPN11%,https://twitter.com/claraptr96/status/1516973895886467072,2022-04-21 02:55:35+00:00,"Kenaikkan Tarif PPN

Pemerintah hanya menaikkan tarif PPN 1 persen
#PPN #Tarifbaru #TarifPPN #PPN11Persen #PPN11 https://t.co/dPzcovLGVD",claraptr96,0,0,0,0,in,Twitter Web App,,,"['PPN', 'Tarifbaru', 'TarifPPN', 'PPN11Persen', 'PPN11']",None,0,[],,,,False,0,5,,Thu Mar 31 03:41:18 +0000 2022
1516725678422765571,#PPN11%,https://twitter.com/PolitikLingkar/status/1516725678422765571,2022-04-20 10:29:15+00:00,"Kenaikan PPN menjadi 11% memyumbang inflasinhanya sebesar 0,4%.

#KenaikanPPN #PPN11 #PajakUntukNegeriKita https://t.co/XzxPYNLydu",PolitikLingkar,0,0,0,0,in,Twitter for Android,,,"['KenaikanPPN', 'PPN11', 'PajakUntukNegeriKita']",None,0,[],,,,False,98,3757,,Mon Dec 03 01:22:08 +0000 2018
1516725495412719616,#PPN11%,https://twitter.com/PolitikLingkar/status/1516725495412719616,2022-04-20 10:28:32+00:00,"Pengaturan PPN mendukung penerimaan pajak yang optimal dan berkesinambungan.

#KenaikanPPN #PPN11 #PajakUntukNegeriKita https://t.co/znglde6HFp",PolitikLingkar,0,0,0,0,in,Twitter for Android,,,"['KenaikanPPN', 'PPN11', 'PajakUntukNegeriKita']",None,0,[],,,,False,98,3757,,Mon Dec 03 01:22:08 +0000 2018
1567851913743581187,#PPNNaik,https://twitter.com/Swacasa_id/status/1567851913743581187,2022-09-08 12:26:40+00:00,"Naiknya 1 persen, kerasanya kaya 10 persen ga sih :(
#Swacasa #TanpaKepentingan #InvestasiProperti #ppn #ppnnaik https://t.co/uojbGVxc8d",Swacasa_id,1,0,0,0,in,Twitter Web App,,,"['Swacasa', 'TanpaKepentingan', 'InvestasiProperti', 'ppn', 'ppnnaik']",None,0,[],,,,False,5,11,,Mon May 02 18:14:55 +0000 2022
1535253307702120448,#PPNNaik,https://twitter.com/IDbelasting/status/1535253307702120448,2022-06-10 13:31:26+00:00,"Apakah akan jadi 12% sebelum 2025?
#PPN #TarifPPN #PPNNaik #PPN12Persen
https://t.co/DOPXK2GZn9",IDbelasting,0,0,0,0,in,Twitter Web App,,,"['PPN', 'TarifPPN', 'PPNNaik', 'PPN12Persen']",None,0,[],,,,False,49,7813,Jakarta,Sat Aug 07 07:16:40 +0000 2021
1528679094069903360,#PPNNaik,https://twitter.com/pajakdotio/status/1528679094069903360,2022-05-23 10:07:52+00:00,#PPNNaik #PPN #Pajak #Webinar #WebinarPajak,pajakdotio,0,0,0,0,qht,Twitter Web App,,,"['PPNNaik', 'PPN', 'Pajak', 'Webinar', 'WebinarPajak']",pajakdotio,0,[],,,,False,10,139,Central Jakarta,Mon May 11 10:08:58 +0000 2020
1516283356270698503,#PPNNaik,https://twitter.com/latarterkemban4/status/1516283356270698503,2022-04-19 05:11:37+00:00,"@KompasTV Wah, kayak Indonesia ya...
Salah Urus 
Astagfirullah

#Hutang7000Triliun
#BBMdanGasNaik
#BahanPokokNaik
#RakyatAntriSolar
#PPNNaik https://t.co/HbgY4HjfNs",latarterkemban4,0,0,2,0,in,Twitter Web App,,,"['Hutang7000Triliun', 'BBMdanGasNaik', 'BahanPokokNaik', 'RakyatAntriSolar', 'PPNNaik']",KompasTV,1,['KompasTV'],,,,False,2183,142707,Nanggroe ACEH,Tue Sep 12 01:27:31 +0000 2017
1513879630809382920,#PPNNaik,https://twitter.com/alfageblug/status/1513879630809382920,2022-04-12 14:00:05+00:00,"https://t.co/okmJbZXdao

Berkeluh kesah tanpa anarki ..

#songwriting

#AprilFools 
#bbmnaik 
#Pertamax 
#ppnnaik 
#MinyakGorengMahal",alfageblug,0,0,0,0,in,Twitter for Android,,,"['songwriting', 'AprilFools', 'bbmnaik', 'Pertamax', 'ppnnaik', 'MinyakGorengMahal']",None,0,[],,,,False,1,5,,Sat Apr 09 14:01:29 +0000 2022
1513061700949655556,#PPNNaik,https://twitter.com/DppHippindo/status/1513061700949655556,2022-04-10 07:49:55+00:00,"Direktorat Jenderal Pajak (DJP) berkolaborasi dengan Himpunan Peritel dan Penyewa Pusat Perbelanjaan Indonesia (HIPPINDO) melakukan Sosialisasi mengenai pelaksanaan UU HPP terkait perubahan ketentuan PPN.

#hippindo #ditjenpajakri #ppnnaik #webinargratis",DppHippindo,1,0,0,0,in,Twitter for iPhone,,,"['hippindo', 'ditjenpajakri', 'ppnnaik', 'webinargratis']",DppHippindo,0,[],,,,False,220,1177,"Jakarta Pusat, DKI Jakarta",Sun Jun 12 02:32:42 +0000 2016
1512701853418414080,#PPNNaik,https://twitter.com/lensaRTV/status/1512701853418414080,2022-04-09 08:00:01+00:00,"Per 1 April 2022 lalu, Kementerian Keuangan (Kemenkeu) telah melakukan penyesuaian tarif PPN menjadi 11%. Namun, Kemenkeu juga menerapkan pengecualian objek PPN. Ini dia beberapa barang dan jasa yang bebas dari PPN. 

#ppn #ppnnaik #pajak #tarifppn #kemenkeu #bebasppn  #infopajak https://t.co/omjXDVsDs2",lensaRTV,0,0,0,0,in,TweetDeck,,,"['ppn', 'ppnnaik', 'pajak', 'tarifppn', 'kemenkeu', 'bebasppn', 'infopajak']",None,0,[],,,,False,9772,45601,Indonesia,Mon Mar 17 06:54:25 +0000 2014
1511632504901419008,#PPNNaik,https://twitter.com/AbsensiMesin/status/1511632504901419008,2022-04-06 09:10:48+00:00,"PPN naik??!!! Panik nggak? Panik nggak? 
Panik lah, masa enggak??! 😱
Eitss.. Tapi itu nggak berlaku buat kalian lho Fingerspoters 😌
Meskipun tarif PPN naik, tapi mesin absensi Fingerspot nggak berubah 🥳
#Fingerspot
#Fingerspotmedan
#bukapuasa
#Fingerprint #ppn #PPNNaik #Finger https://t.co/ZJ9VwSH7fs",AbsensiMesin,0,0,0,0,in,Twitter for Android,,,"['Fingerspot', 'Fingerspotmedan', 'bukapuasa', 'Fingerprint', 'ppn', 'PPNNaik', 'Finger']",None,0,[],,,,False,24,1145,,Tue Sep 29 02:42:53 +0000 2020
