Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users
1630116120324866050,Lagi di Bogor,https://twitter.com/jkt48acel/status/1630116120324866050,2023-02-27 08:02:23+00:00,"Terima kasih banyak bagi yang telah datang dan senang senang bareng kita di Senang Senang Fest, Bogor! Sampai bertemu lagi!! https://t.co/yRXxxg1C1z",jkt48acel,94.0,0,0,0,0,in,Twitter for Android,,,,,0,
1630111914276827136,Lagi di Bogor,https://twitter.com/RumahMugi/status/1630111914276827136,2023-02-27 07:45:41+00:00,"@worksfess Mending kpr rumah kak, karena bisa untuk investasi jangka panjang dan harga rumah akan naik tiap tahun. Aku lagi open konsultasi kpr gratis nih kak. Untuk yang lagi cari rumah di Depok, Bogor dan Bekasi bisa DM aku ya. Tanya2 dulu juga boleh kak",RumahMugi,11.0,0,0,0,0,in,Twitter for Android,,,,worksfess,1,['worksfess']
1630110511068225536,Lagi di Bogor,https://twitter.com/taeramissyou/status/1630110511068225536,2023-02-27 07:40:06+00:00,"@worksfess Semangat nder💪 btw klo kamu dom jkt atau bogor, saya lagi butuh beberapa admin accounting (jakut) dan admin proyek (bersedia ditempatkan di bogor), hmu aja klo mau kirim cv hehe",taeramissyou,31.0,0,0,0,0,in,Twitter for Android,,,,worksfess,1,['worksfess']
1630098947917385728,Lagi di Bogor,https://twitter.com/heeychain/status/1630098947917385728,2023-02-27 06:54:09+00:00,"Siapa lagi cari trip dari BOGOR ke BSD? Yuk ikut 

TRIP TDS 2 BOGOR - BSD

Day 1 💚💚💚❌❌
Day 2 💚💚💚❌❌❌

🍑 125k/person (pulang)
🍑 175k/person (pp)

(All in sudah termasuk tol/parkir)
*boleh titip barang*

Jam dan tempat bisa di sesuaikan 

#THEDREAMSHOW2_in_Jakarta",heeychain,117.0,0,0,0,0,in,Twitter for iPhone,,,['THEDREAMSHOW2_in_Jakarta'],,0,
1630097458045894656,Lagi di Bogor,https://twitter.com/steropic/status/1630097458045894656,2023-02-27 06:48:14+00:00,aku suka bgt sama donat ubi tapi kayaknya di jkt gaada ya? soalnya kalo lagi bm aku harus nitip temen krn ini beli nya di sekitaran puncak bogor tapi eNAAAK BGT trs murah😭🫶🏻 https://t.co/A9fQX3AljY,steropic,,0,0,0,0,in,Tweetdecks Web App,,,,,0,
1630097432900952064,Lagi di Bogor,https://twitter.com/FOODFESS2/status/1630097432900952064,2023-02-27 06:48:08+00:00,fess aku suka bgt sama donat ubi tapi kayaknya di jkt gaada ya? soalnya kalo lagi bm aku harus nitip temen krn ini beli nya di sekitaran puncak bogor tapi eNAAAK BGT trs murah😭🫶🏻 https://t.co/TTpBLSlKYG,FOODFESS2,4237.0,4,2,25,1,in,FOODIE FESS,,,,,0,
1630093044551942145,Lagi di Bogor,https://twitter.com/Alkeevoy/status/1630093044551942145,2023-02-27 06:30:42+00:00,"@RyaWiedy BTP ketua KPK ???? Yaa gaklah yauuuw. Urusan RS Sumber Waras gak waras2,  Lahan Cengkareng apa lagi atau Bus TransJakarta yg jadi besi tua di Dramaga Bogor ??? Kasus bro kasuuus. 
Kasus sis kasuuus",Alkeevoy,112.0,0,0,1,0,in,Twitter for Android,,,,RyaWiedy,1,['RyaWiedy']
1630092909906399236,Lagi di Bogor,https://twitter.com/sellkpopfess/status/1630092909906399236,2023-02-27 06:30:10+00:00,"💚 FANTASY!! 💚
Kuy- hi, kalian yang lagi cari go buat jajan pc, merch dll SF9, join go kita yukkkk!!!
💨 Wl bakal pulang 
💨 Rate rendah
💨 Bisa personal order
12.0🇰🇷 132🇯🇵 📌 Bogor
Di jamin trusted!!^^ @collectaros  https://t.co/M0yTzUswj4",sellkpopfess,281.0,1,0,0,0,in,sellkpopfess,,,,,1,['collectaros']
1630092890037948417,Lagi di Bogor,https://twitter.com/sellkpopdata/status/1630092890037948417,2023-02-27 06:30:05+00:00,"💚 FANTASY!! 💚
Kuy! hi, kalian yang lagi cari go buat jajan pc, merch dll SF9, join go kita yukkkk!!!
💨 Wl bakal pulang 
💨 Rate rendah
💨 Bisa personal order
12.0🇰🇷 132🇯🇵 📌 Bogor
Di jamin trusted!!^^ @collectaros  https://t.co/ghOju5iPiU",sellkpopdata,133.0,1,0,0,0,in,subbase,,,,,1,['collectaros']
1630092889697992705,Lagi di Bogor,https://twitter.com/dagangkorea/status/1630092889697992705,2023-02-27 06:30:05+00:00,"💚 FANTASY!! 💚
Dakor! hi, kalian yang lagi cari go buat jajan pc, merch dll SF9, join go kita yukkkk!!!
💨 Wl bakal pulang 
💨 Rate rendah
💨 Bisa personal order
12.0🇰🇷 132🇯🇵 📌 Bogor
Di jamin trusted!!^^ @collectaros  https://t.co/YqBiYaSVzC",dagangkorea,140.0,1,0,0,0,in,Twitter for Mac,,,,,1,['collectaros']
1630092877794516999,Lagi di Bogor,https://twitter.com/dagangkr/status/1630092877794516999,2023-02-27 06:30:02+00:00,"💚 FANTASY!! 💚
💸 hi, kalian yang lagi cari go buat jajan pc, merch dll SF9, join go kita yukkkk!!!
💨 Wl bakal pulang 
💨 Rate rendah
💨 Bisa personal order
12.0🇰🇷 132🇯🇵 📌 Bogor
Di jamin trusted!!^^ @collectaros  https://t.co/5PAHDukJSz",dagangkr,90.0,1,0,0,0,in,Twitter for Mac,,,,,1,['collectaros']
1630089360065572864,Lagi di Bogor,https://twitter.com/ErnaPrihantini/status/1630089360065572864,2023-02-27 06:16:03+00:00,"Kalo wisata ke bogor sukabumi cianjur bandung gak lagi lagi deh beli moci yg ala ala gitu, mending sekalian beli di gerai resmi. Zonk euy",ErnaPrihantini,59.0,1,0,0,0,in,Twitter for iPhone,,,,,0,
1630088721969344512,Lagi di Bogor,https://twitter.com/hlosasu/status/1630088721969344512,2023-02-27 06:13:31+00:00,"Siapa lagi cari trip dari BOGOR ke BSD? Yuk ikut 

TRIP TDS 2 BOGOR - BSD

Day 1 💚💚💚❌❌
Day 2 💚💚💚❌❌❌

🍑 125k/person (pulang)
🍑 175k/person (pp)

(All in sudah termasuk tol/parkir)
*boleh titip barang*

Jam dan tempat bisa di sesuaikan 

#THEDREAMSHOW2_in_Jakarta",hlosasu,355.0,1,0,0,1,in,Twitter for Android,,,['THEDREAMSHOW2_in_Jakarta'],,0,
1630076455374983168,Lagi di Bogor,https://twitter.com/heeychain/status/1630076455374983168,2023-02-27 05:24:46+00:00,"Siapa lagi cari trip dari BOGOR ke BSD? Yuk ikut 

TRIP TDS 2 BOGOR - BSD

Day 1 💚💚💚💚❌
Day 2 💚💚💚❌❌❌

🍑 125k/person (pulang)
🍑 175k/person (pp)

(All in sudah termasuk tol/parkir)
*boleh titip barang*

Jam dan tempat bisa di sesuaikan 

#THEDREAMSHOW2_in_Jakarta",heeychain,356.0,0,0,0,1,in,Twitter for iPhone,,,['THEDREAMSHOW2_in_Jakarta'],,0,
1630069973287829507,Lagi di Bogor,https://twitter.com/emaknya_wraith/status/1630069973287829507,2023-02-27 04:59:01+00:00,"@txtdaribogor https://t.co/kvmhfT9TUq 
Dapet di ig nya bogor 24, katanya udah ga boleh lewat lagi,motor mobil https://t.co/eRCc9dZh6J",emaknya_wraith,5342.0,0,0,2,4,in,Twitter for Android,,,,txtdaribogor,1,['txtdaribogor']
1630051661938069507,Lagi di Bogor,https://twitter.com/nigellias/status/1630051661938069507,2023-02-27 03:46:15+00:00,"ㅤ
ᅠᅠ
Rafa, abang lagi pilek. Rafa boleh tolong beliin panadol, gak? Tapi belinya di salah satu apotek di Bogor.
ㅤ
ᅠᅠ",nigellias,117.0,1,0,0,0,in,Twitter for Android,,,,,0,
1630046435382280192,Lagi di Bogor,https://twitter.com/Danella/status/1630046435382280192,2023-02-27 03:25:29+00:00,hallo min tolong di check yaa nomor resi JP7836946931 pesanan saya kenapaaaaa nyasar ke bandung lagi ? padahal tujuan ke kab bogor … https://t.co/92yvSMi0aT,Danella,181.0,1,0,0,1,in,Twitter for iPhone,,,,,0,
1629987869958832128,Lagi di Bogor,https://twitter.com/BaroqahHusni/status/1629987869958832128,2023-02-26 23:32:46+00:00,"di Bogor banyak terutama arah kota ke puncak, kalau lagi lapar dan liat ini pasti berhenti..

rata-rata enak, tapi depan graha Cibinong dan samping SD ciriung 1 atau depan perum taman rezeki bisa jadi rekomendasi.",BaroqahHusni,31.0,0,0,0,0,in,Twitter for Android,,,,,0,
1629966302877216774,Lagi di Bogor,https://twitter.com/oreomarmalade/status/1629966302877216774,2023-02-26 22:07:04+00:00,"@todayis_winter Aku tinggal di bogor lagi sering hujan sama ac nya dingin bgt kak, ditambah aku juga sinusnya suka kambuh kalo dingin bgt tuh 😂",oreomarmalade,60.0,0,0,0,0,in,Twitter for Android,,,,todayis_winter,1,['todayis_winter']
1629886089635971074,Lagi di Bogor,https://twitter.com/JKT48BOGORRAYA/status/1629886089635971074,2023-02-26 16:48:20+00:00,"HAPPY BIRTHDAY @F_OllaJKT48 
Si mechanic girl yang udh gak seventeen lagi
Kapan nih ngedrift di sentul? 
#HollaEighteen #Highway https://t.co/9G1tWPg8r9",JKT48BOGORRAYA,645.0,1,3,38,0,in,Twitter for Android,,,"['HollaEighteen', 'Highway']",,1,['F_OllaJKT48']
1629868297859784706,Lagi di Bogor,https://twitter.com/azharwibisono/status/1629868297859784706,2023-02-26 15:37:38+00:00,Alhamdulillah hari ini kedai ramai pengunjung walaupun lagi hujan deras di Bogor.,azharwibisono,89.0,0,0,0,0,in,Twitter for Android,,,,,0,
1629866107229315072,Lagi di Bogor,https://twitter.com/krab_dzulfikar/status/1629866107229315072,2023-02-26 15:28:56+00:00,"@SP_IndiraJKT48 @AM_EllaJKT48 Maaf nih Indira sejak kapan ya Bogor panas aku aja kedinginan mulu di Bogor🥶, tapi kadang iya juga sih kalau lagi panas Bogor suka panas kadang wkwkwk😁",krab_dzulfikar,322.0,0,0,0,0,in,Twitter for Android,,,,SP_IndiraJKT48,2,"['SP_IndiraJKT48', 'AM_EllaJKT48']"
1629864186825302016,Lagi di Bogor,https://twitter.com/iis_mail/status/1629864186825302016,2023-02-26 15:21:18+00:00,"@raden_aditya_ 2shot lah, tapi anaknya lagi di bogor tadi....🤣🤣🤣",iis_mail,14.0,1,0,0,0,in,Twitter for Android,,,,raden_aditya_,1,['raden_aditya_']
1629860022892240898,Lagi di Bogor,https://twitter.com/dinoshoelace/status/1629860022892240898,2023-02-26 15:04:45+00:00,"waktu itu ya aku lagi kurang sehat dan baru pertama kali lagi ke bogor lewat manggarai setelah ada transit-transit gini, eh ternyata yang ke bogor ada di lantai 3 🙂",dinoshoelace,11.0,0,0,0,0,in,Twitter for Android,,,,dinoshoelace,0,
1629851273184026625,Lagi di Bogor,https://twitter.com/halugatsexo/status/1629851273184026625,2023-02-26 14:29:59+00:00,lagi camping pramuka di bogor 😭☝️,halugatsexo,32.0,0,0,0,0,in,Twitter for iPhone,,,,,0,
1629846552520040448,Lagi di Bogor,https://twitter.com/namireissa/status/1629846552520040448,2023-02-26 14:11:13+00:00,ini mah bukan ga boleh keluar kota lagi tapi emang bener bener harus di bogor,namireissa,14.0,0,0,0,0,in,Twitter for iPhone,,,,,0,
