Id,Search Keyword,URL,Datetime,Tweet
1630014848888373249,pajak,https://twitter.com/priyantarno/status/1630014848888373249,2023-02-27 01:19:58+00:00,"Fakta dan sdh terjadi lama
Kecuali pajak sejak kenaikan tukin tdk boleh menjabat komisaris BUMN"
1630014843146346496,pajak,https://twitter.com/NinditaRima/status/1630014843146346496,2023-02-27 01:19:57+00:00,"@CNNIndonesia saran, biar masyarakat percaya lagi, gratiskan semua pajak di Indonesia, dijamin bakal percaya lgi"
1630014812976717824,pajak,https://twitter.com/infocilacap/status/1630014812976717824,2023-02-27 01:19:50+00:00,@republikaonline Dan itu berasal dari pajak rakyat
1630014794718924800,pajak,https://twitter.com/tw121_/status/1630014794718924800,2023-02-27 01:19:45+00:00,Orang bijak bikin kaya orang pajak
1630014782890967040,pajak,https://twitter.com/CatsieMeong/status/1630014782890967040,2023-02-27 01:19:43+00:00,"Selamat pagi
Selamat awal pekan tetap semangat seperti kang nagih pajak yg selalu semangat supaya kaya raya, yakan Bu Sri? Hehehe

#SriMulyaniOMDO
#SriMulyaniOMDO https://t.co/jlPhDu4GOz"
1630014764599607296,pajak,https://twitter.com/RofiPareno/status/1630014764599607296,2023-02-27 01:19:38+00:00,"Orang bijak taat pajak, orang jahat makan pajak. orang gila tak diajak #KataBajak"
1630014746580901890,pajak,https://twitter.com/ORohman/status/1630014746580901890,2023-02-27 01:19:34+00:00,"@democrazymedia Kok bisa gitu Bu
Jadi masyarakat yang wajib bayar pajak
Di kadalin oknum Ditjen pajak dan keuangan"
1630014744630525952,pajak,https://twitter.com/Muharsambu/status/1630014744630525952,2023-02-27 01:19:33+00:00,@Heraloebss Mosi tidak bayar pajak
1630014736774602752,pajak,https://twitter.com/PNonSambat/status/1630014736774602752,2023-02-27 01:19:32+00:00,"@prastow Coba tunjangan dituker dulu sama guru. 
Perbaiki pendidikan dulu, kedepan masyarakat terdidik akan rela bayar pajak dengan mudah. Pegawai pajak mudah mengumpulkannya https://t.co/wjuUA5YF7R"
1630014711856238592,pajak,https://twitter.com/zka0608/status/1630014711856238592,2023-02-27 01:19:26+00:00,@KompasTV Yg minta lewat jalan tol ternyata golongan moge  orang pajak dan tidak bayar pajak
1630014698916831233,pajak,https://twitter.com/AmexDifabel/status/1630014698916831233,2023-02-27 01:19:23+00:00,"Haruskah Penyandang Disabilitas itu wajib membayar pajak, ketika banyak hal di negeri Indonesia tak bisa dinikmati oleh mereka? cc @jokowi"
1630014692361138178,pajak,https://twitter.com/zainala96393163/status/1630014692361138178,2023-02-27 01:19:21+00:00,"@DarusinAsrul @logikapolitikid @DitjenPajakRI Makanya saya punya motor dari tahun 2014 sampai skrg blm pernah bayar pajak,plat nomer msh th 2019🤭"
1630014680692580352,pajak,https://twitter.com/FahlefiMisbah/status/1630014680692580352,2023-02-27 01:19:18+00:00,"@Boediantar4 Penghargaan gampang, Kan Tinggal Beli Aja, Uangnya dari Pinjaman Banyak, Dari Pajak Banyak, Dari Gotong Royong BPJS Banyak😂😂😂, Pokoknya Indonesia Kaya Raya, Serta Makmur, Apa Aja Bisa Dibeli Kecuali Kepercayaan RAKYAT (Baik)😎"
1630014672316551170,pajak,https://twitter.com/RK_kopihitam/status/1630014672316551170,2023-02-27 01:19:16+00:00,"@ekowid1 @KefasID @republikaonline Yup Guru PNS sekarang sudah bukan Umar Bakri lagi.  Kecuali Honorer memang memprihatinkan, dan guru swasta juga masih banyak yang belum sesuai. Apalagi dengan para Buruh Swasta sangat jauh dibandingkan dengan PNS. Padahal buruh swasta dr hasil tenaganya bisa memberikan out pajak."
1630014625139015680,pajak,https://twitter.com/PALKON60917084/status/1630014625139015680,2023-02-27 01:19:05+00:00,@Paltiwest @prastow Ayo anda bijak taat PAJAK yang ngebajak para PEJABAT 🤣🤣🤣 https://t.co/tGpM6azUbv
1630014614229647360,pajak,https://twitter.com/rdr_id/status/1630014614229647360,2023-02-27 01:19:02+00:00,"Yang paginya begini, jangan saling sikut ya, torang basudara dalam macet yg sama, membayar pajak di negara yg sama.
Kl ada perbedaan SARA, kita ga beda nasib di jalan raya. Sama2 mendapat perlakuan yg sama. Di tetottetot mobil RFS yg sama.

Santai saja #KopiSusi https://t.co/b3B6qJFE99"
